title,company,description,required_skills,preferred_skills,location,salary_min,salary_max,job_type,experience_level,remote,posted_date
Senior Full Stack Developer,Tech Solutions Inc,"We are seeking an experienced Full Stack Developer to join our team. You will work on building scalable web applications using modern JavaScript technologies.","JavaScript,React,Node.js,MongoDB,REST API","TypeScript,Docker,AWS,GraphQL",San Francisco,120000,180000,Full-time,Senior,false,2024-11-20
Frontend Developer,StartUp Ventures,"Looking for a creative Frontend Developer to build beautiful user interfaces. Experience with React and modern CSS is essential.","React,JavaScript,HTML,CSS,Redux","TypeScript,Next.js,Tailwind CSS",Remote,90000,130000,Full-time,Mid-level,true,2024-11-21
Backend Engineer,Cloud Systems,"Join our backend team to build robust APIs and microservices. Strong knowledge of Node.js and databases required.","Node.js,Express,MongoDB,PostgreSQL,REST API","Docker,Kubernetes,AWS,Redis",New York,110000,160000,Full-time,Mid-level,false,2024-11-19
DevOps Engineer,Infrastructure Co,"We need a DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines.","Docker,Kubernetes,AWS,Linux,CI/CD","Terraform,Ansible,Python,Jenkins",Austin,130000,190000,Full-time,Senior,false,2024-11-18
Python Developer,Data Analytics Corp,"Seeking Python developer for data processing and API development. Experience with Django or Flask required.","Python,Django,Flask,PostgreSQL,REST API","Docker,AWS,Redis,Celery",Boston,100000,150000,Full-time,Mid-level,false,2024-11-22
React Native Developer,Mobile Apps Inc,"Build cross-platform mobile applications using React Native. iOS and Android experience preferred.","React Native,JavaScript,Redux,REST API","TypeScript,Firebase,GraphQL",Remote,95000,140000,Full-time,Mid-level,true,2024-11-20
Data Engineer,Analytics Platform,"Looking for Data Engineer to build ETL pipelines and data warehouses.","Python,SQL,Spark,Airflow,AWS","Kafka,Snowflake,dbt,Redshift",Seattle,125000,175000,Full-time,Senior,false,2024-11-17
UI/UX Engineer,Design Studio,"We need a UI/UX Engineer who can design and implement beautiful interfaces.","React,JavaScript,HTML,CSS,Figma","TypeScript,Tailwind CSS,Storybook",Los Angeles,85000,125000,Full-time,Mid-level,false,2024-11-23
Full Stack Engineer,E-commerce Co,"Join our team to build scalable e-commerce platforms. MERN stack experience required.","JavaScript,React,Node.js,MongoDB,Express","TypeScript,Redis,Docker,AWS",Chicago,105000,155000,Full-time,Mid-level,false,2024-11-19
Cloud Architect,Enterprise Systems,"Design and implement cloud infrastructure for enterprise applications.","AWS,Azure,Kubernetes,Terraform,Python","GCP,Docker,Ansible,CI/CD",Remote,150000,220000,Full-time,Senior,true,2024-11-16
Junior Full Stack Developer,Learning Platform,"Great opportunity for junior developers to grow. Mentorship provided.","JavaScript,React,Node.js,HTML,CSS","MongoDB,Express,Git",Remote,60000,85000,Full-time,Junior,true,2024-11-22
Software Engineer,FinTech Solutions,"Build financial software applications. Java or JavaScript experience needed.","JavaScript,Java,SQL,REST API,Git","Spring Boot,React,Docker,AWS",New York,115000,165000,Full-time,Mid-level,false,2024-11-21
Machine Learning Engineer,AI Research Lab,"Develop ML models and deploy them to production. Python and deep learning frameworks required.","Python,TensorFlow,PyTorch,scikit-learn,Docker","Kubernetes,AWS,FastAPI,MLflow",San Francisco,140000,200000,Full-time,Senior,false,2024-11-15
QA Automation Engineer,Quality Assurance Co,"Build automated testing frameworks and ensure software quality.","JavaScript,Selenium,Cypress,Jest,Git","Python,Docker,CI/CD,Playwright",Remote,85000,120000,Full-time,Mid-level,true,2024-11-20
GraphQL Developer,API Services Inc,"Design and implement GraphQL APIs. Node.js and database experience required.","Node.js,GraphQL,MongoDB,PostgreSQL,REST API","TypeScript,Docker,AWS,Redis",Austin,100000,145000,Full-time,Mid-level,false,2024-11-18
